(blank),0,,,,,,,,,,,,
,,,,Game Notes/Requests,,Field,,,,,,,
Cleber,3,,,,,,,,,,,,
10007,Sun,"Sep 8, 2013",,State Cup Manager Schedules,Cleber,, PSA Storm 04B Black, vs., Red Star SA 04B Red,Under 9 Boys - Red,NorCal State Cup(s): U9-U10,,
32031,Sun,"Sep 8, 2013",,,Cleber,, Red Star SA 03B Black, vs., Burlingame SC Titans,Under 10 Boys - Blue,NorCal State Cup(s): U9-U10,,
41046,Sun,"Sep 8, 2013",,,Cleber,, Red Star SA 02G Red, vs., Force 02G Black,Under 11 Girls - White,NorCal State Cup(s): U11-U13,,
Yannick,3,,,,,,,,,,,,
11020,Sun,"Sep 8, 2013",,,Yannick,, Red Star SA 04B White, vs., Mountain View / Los Altos SC Lynx Black,Under 9 Boys - White,NorCal State Cup(s): U9-U10,,
40008,Sun,"Sep 8, 2013",,,Yannick,, Red Star SA 03G Red, vs., Barcelona Bay Area Red 03G,Under 10 Girls - Red,NorCal State Cup(s): U9-U10,,
42045,Sun,"Sep 8, 2013",,,Yannick,, Red Star SA 02G White, vs., GSC Gryphons 02G Black,Under 11 Girls - Blue,NorCal State Cup(s): U11-U13,,
Victor,1,,,,,,,,,,,,
21002,Sun,"Sep 8, 2013",,late afternoon,Victor,, Red Star SA 04G Red, vs., Los Gatos United LGUSL GU8 Pizzazz,Under 9 Girls - White,NorCal State Cup(s): U9-U10,,
Matt,2,,,,,,,,,,,,
30014,Sun,"Sep 8, 2013",,,Matt,, Red Star SA 03B Red, vs., Evergreen United Earthquakes 03B Blue,Under 10 Boys - Red,NorCal State Cup(s): U9-U10,,
20054,Sun,"Sep 8, 2013",,,Matt,, Red Star SA 01B Red, vs., lobitos w s,Under 12 Boys - Red,NorCal State Cup(s): U11-U13,,
Terry,2,,,,,,,,,,,,
31056,Sun,"Sep 8, 2013",,request afternoon,Terry,, Ajax East Bay 04Boys, vs., Red Star SA 03B White,Under 10 Boys - White,NorCal State Cup(s): U9-U10,,
30071,Sun,"Sep 8, 2013",,request morning,Terry,, SMC Star 00B Academy, vs., Red Star SA 00B Red,Under 13 Boys - Red,NorCal State Cup(s): U11-U13,,
Ryan,1,,,,,,,,,,,,
41032,Sun,"Sep 8, 2013",,,Ryan,, Mountain View / Los Altos SC Barcelona Green, vs., Red Star SA 03G White,Under 10 Girls - White,NorCal State Cup(s): U9-U10,,
Adriano,2,,,,,,,,,,,,
10042,Sun,"Sep 8, 2013",,target morning,Adriano,, Red Star SA 02B Red, vs., CVSC United Green 02-03 B,Under 11 Boys -Red,NorCal State Cup(s): U11-U13,,
11001,Sun,"Sep 8, 2013",3:00 PM,,Adriano,, Force 02B Black, vs., Red Star SA 02B White,Under 11 Boys - White,NorCal State Cup(s): U11-U13,,
